model_metrics_ID,meta_data_ID,model_ID,model_ID_name,auc,logloss,mean_per_class_error,rmse,mse
111,4,34,XRT_1_AutoML_20190422_184447,0.771575928,0.098821812,0.429654918,0.121176611,0.014683771
112,4,35,GLM_grid_1_AutoML_20190422_184447_model_1,0.768481659,0.067156413,0.40780549,0.118464278,0.014033785
113,4,36,DRF_1_AutoML_20190422_184447,0.759663828,0.114650791,0.419530985,0.121994775,0.014882725
114,4,37,DeepLearning_grid_1_AutoML_20190422_184447_model_3,0.747230039,0.079841865,0.364854796,0.119597016,0.014303446
115,4,38,DeepLearning_1_AutoML_20190422_184447,0.745610188,0.069583607,0.411973253,0.11892542,0.014143256
116,4,39,DeepLearning_grid_1_AutoML_20190422_184447_model_1,0.741410313,0.150472095,0.404897732,0.120969865,0.014633708
117,4,40,DeepLearning_grid_1_AutoML_20190422_184447_model_2,0.733416485,0.150724865,0.393567829,0.12096954,0.01463363
118,4,41,GBM_grid_1_AutoML_20190422_184447_model_9,0.728841635,0.119526769,0.427491871,0.136606311,0.018661284
119,4,42,DeepLearning_grid_1_AutoML_20190422_184447_model_4,0.723111124,0.170016998,0.392438539,0.120912185,0.014619756
120,4,43,GBM_grid_1_AutoML_20190422_184447_model_15,0.66092146,0.332313326,0.391383743,0.157195248,0.024710346
121,4,44,DeepLearning_grid_1_AutoML_20190422_184447_model_7,0.652468032,0.120209807,0.432725891,0.121331678,0.014721376
122,4,45,GBM_grid_1_AutoML_20190422_184447_model_7,0.588912589,0.332522855,0.44000362,0.165949476,0.027539229
123,4,46,DeepLearning_grid_1_AutoML_20190422_184447_model_8,0.568505613,0.298775206,0.438989554,0.131030457,0.017168981
124,4,47,GBM_grid_1_AutoML_20190422_184447_model_28,0.561249815,1.357771835,0.43171613,0.244961409,0.060006092
125,5,1,GBM_grid_1_AutoML_20190422_193704_model_1,0.833640816,0.065019376,0.366363781,0.117735899,0.013861742
126,5,2,GBM_grid_1_AutoML_20190422_193704_model_28,0.832996452,0.065274382,0.388345936,0.117793733,0.013875364
127,5,3,GBM_grid_1_AutoML_20190422_193704_model_3,0.83251297,0.064340516,0.350362821,0.117967033,0.013916221
128,5,4,GBM_grid_1_AutoML_20190422_193704_model_8,0.830430493,0.06550873,0.378024186,0.117831115,0.013884172
129,5,5,GBM_grid_1_AutoML_20190422_193704_model_24,0.830079186,0.066816013,0.391026782,0.118157126,0.013961106
130,5,6,GBM_grid_1_AutoML_20190422_193704_model_4,0.830022326,0.065465713,0.394604585,0.117885986,0.013897106
131,5,7,GBM_grid_1_AutoML_20190422_193704_model_5,0.828972863,0.066330956,0.369352118,0.118042499,0.013934032
132,5,8,GBM_1_AutoML_20190422_193704,0.828782851,0.067909186,0.317910161,0.121482409,0.014757976
133,5,9,GBM_grid_1_AutoML_20190422_193704_model_6,0.825902883,0.065240951,0.382662205,0.118124081,0.013953299
134,5,10,GBM_grid_1_AutoML_20190422_193704_model_30,0.824569354,0.065698682,0.356915935,0.11862955,0.01407297
135,5,11,GBM_grid_1_AutoML_20190422_193704_model_16,0.824439098,0.064678838,0.371476578,0.1177193,0.013857834
136,5,12,GBM_2_AutoML_20190422_193704,0.824008456,0.065844246,0.383043827,0.118881053,0.014132705
137,5,13,StackedEnsemble_BestOfFamily_AutoML_20190422_193704,0.823468823,0.067431852,0.356060071,0.119009441,0.014163247
138,5,14,StackedEnsemble_AllModels_AutoML_20190422_193704,0.823023201,0.067372596,0.335746623,0.1190156,0.014164713
139,5,15,GBM_grid_1_AutoML_20190422_193704_model_18,0.82228913,0.065210329,0.381442223,0.118124615,0.013953425
140,5,16,GBM_3_AutoML_20190422_193704,0.819598076,0.066655346,0.350401857,0.119476644,0.014274668
141,5,17,GBM_grid_1_AutoML_20190422_193704_model_26,0.819466065,0.065713277,0.373616528,0.118318684,0.013999311
142,5,18,GBM_grid_1_AutoML_20190422_193704_model_25,0.819187557,0.066193106,0.353160861,0.117916278,0.013904249
143,5,19,GBM_grid_1_AutoML_20190422_193704_model_15,0.815148927,0.066148681,0.38221648,0.118039716,0.013933375
144,5,20,GBM_5_AutoML_20190422_193704,0.81465776,0.066064092,0.405314449,0.118309487,0.013997135
145,5,21,GBM_grid_1_AutoML_20190422_193704_model_29,0.813451547,0.068191532,0.36412414,0.118504026,0.014043204
146,5,22,GBM_4_AutoML_20190422_193704,0.809085173,0.068005487,0.38964954,0.120030914,0.01440742
147,5,23,GBM_grid_1_AutoML_20190422_193704_model_32,0.808807391,0.067932749,0.370689788,0.118439528,0.014027922
148,5,24,GBM_grid_1_AutoML_20190422_193704_model_2,0.80877922,0.067372314,0.39207997,0.119650028,0.014316129
149,5,25,GBM_grid_1_AutoML_20190422_193704_model_14,0.808145169,0.067853573,0.400708974,0.119421838,0.014261575
150,5,26,GBM_grid_1_AutoML_20190422_193704_model_23,0.806962243,0.066780214,0.383596721,0.118244532,0.013981769
151,5,27,GBM_grid_1_AutoML_20190422_193704_model_12,0.805558784,0.067202914,0.411404826,0.118380638,0.014013975
152,5,28,GBM_grid_1_AutoML_20190422_193704_model_10,0.805131505,0.068134354,0.399854588,0.118404938,0.014019729
153,5,29,GBM_grid_1_AutoML_20190422_193704_model_13,0.802968916,0.069936912,0.389792252,0.121521293,0.014767425
154,5,30,GBM_grid_1_AutoML_20190422_193704_model_7,0.801922046,0.067513169,0.406724235,0.118990064,0.014158635
155,5,31,GBM_grid_1_AutoML_20190422_193704_model_22,0.799968875,0.067920926,0.424968821,0.119461703,0.014271098
156,5,32,GBM_grid_1_AutoML_20190422_193704_model_19,0.795992196,0.069217756,0.41354679,0.11975152,0.014340427
157,5,33,GBM_grid_1_AutoML_20190422_193704_model_11,0.795157259,0.069016314,0.380982978,0.120391093,0.014494015
158,5,34,DeepLearning_grid_1_AutoML_20190422_193704_model_1,0.790991692,0.071575247,0.339827228,0.118438161,0.014027598
159,5,35,GBM_grid_1_AutoML_20190422_193704_model_27,0.789470079,0.070140921,0.382158868,0.12112069,0.014670222
160,5,36,XRT_1_AutoML_20190422_193704,0.775218017,0.094008964,0.405000915,0.12110446,0.01466629
161,5,37,GBM_grid_1_AutoML_20190422_193704_model_9,0.770482061,0.070924208,0.415042212,0.118974772,0.014154996
162,5,38,GBM_grid_1_AutoML_20190422_193704_model_20,0.769621815,0.075512729,0.378652152,0.1210972,0.014664532
163,5,39,GLM_grid_1_AutoML_20190422_193704_model_1,0.768481659,0.067156413,0.40780549,0.118464278,0.014033785
164,5,40,DRF_1_AutoML_20190422_193704,0.762860839,0.109769241,0.406963102,0.121976461,0.014878257
165,5,41,DeepLearning_grid_1_AutoML_20190422_193704_model_7,0.760360782,0.083434967,0.355056395,0.119952105,0.014388508
166,5,42,GBM_grid_1_AutoML_20190422_193704_model_31,0.754930527,0.074294292,0.361247405,0.124246614,0.015437221
167,5,43,GBM_grid_1_AutoML_20190422_193704_model_21,0.748094184,0.331667932,0.389495193,0.166920941,0.0278626
168,5,44,DeepLearning_1_AutoML_20190422_193704,0.746372412,0.070870373,0.398434282,0.118865619,0.014129035
169,5,45,DeepLearning_grid_1_AutoML_20190422_193704_model_3,0.728428195,0.146370543,0.38235767,0.120961156,0.014631601
170,5,46,DeepLearning_grid_1_AutoML_20190422_193704_model_6,0.721372054,0.139273478,0.396217651,0.120575234,0.014538387
171,5,47,DeepLearning_grid_1_AutoML_20190422_193704_model_8,0.702809674,0.112409423,0.416578191,0.161982947,0.026238475
172,5,48,DeepLearning_grid_1_AutoML_20190422_193704_model_2,0.674094653,0.149234513,0.410961071,0.133062127,0.01770553
173,5,49,DeepLearning_grid_1_AutoML_20190422_193704_model_5,0.638785537,0.133244966,0.412458957,0.12880403,0.016590478
174,5,50,DeepLearning_grid_1_AutoML_20190422_193704_model_4,0.597596041,0.158563184,0.463000999,0.121494516,0.014760917
175,5,51,GBM_grid_1_AutoML_20190422_193704_model_17,0.546055016,1.642953825,0.453552617,0.218760352,0.047856091
